번호,지역,냉면,비빔밥,김치찌개백반,삼겹살(환산전),삼겹살(환산후),자장면,삼계탕,칼국수,김밥
1,서울,9577,9115,7077,14308,17188,5538,14154,7462,2731
2,광주,7900,8700,7100,12400,12956,5500,14600,7200,2600
3,대구,8833,9000,6667,9833,13436,5167,14167,6250,2300
4,대전,8300,8700,6500,12800,16133,5500,13000,6000,2400
5,부산,9429,7557,6714,9643,13729,5071,14143,6000,2357
6,울산,8100,8100,6900,8600,14338,5700,13200,7400,2600
7,인천,8833,7733,6667,13483,15459,5333,14167,6917,2500
8,강원,8222,7944,7167,12889,12889,5278,13444,7500,2389
9,경기,8692,7696,6808,13942,15025,5712,14423,7404,2654
10,경남,8700,7400,7150,9590,14938,4900,14400,6450,2760
11,경북,8269,7569,7115,9077,13992,5038,13077,6769,2423
12,전남,7556,7667,6556,12889,15593,5944,14333,7222,2167
13,전북,8200,9300,7350,13050,14223,5200,14200,7300,2350
14,충남,8200,8100,7100,13500,14694,5350,13400,6900,2420
15,충북,7571,7457,7143,12429,12263,5286,12429,6357,2214
16,제주,8000,8250,7625,15000,15417,5875,12250,8000,2625
